TaskName,TaskPath,Descripcion,Categoria
RemoteAssistanceTask,\Microsoft\Windows\RemoteAssistance\,Monitoriza solicitudes de asistencia remota,Asistencia Remota
UninstallDeviceTask,\Microsoft\Windows\Bluetooth\,Desinstala dispositivos Bluetooth en segundo plano,Bluetooth
Windows Defender Scheduled Scan,\Microsoft\Windows\Windows Defender\,Analisis programado de Windows Defender,Defender
ScheduledDefrag,\Microsoft\Windows\Defrag\,Desfragmentacion programada del disco (innecesaria en SSD),Desfragmentacion
ProactiveScan,\Microsoft\Windows\Chkdsk\,Escaneo proactivo del disco en busca de errores,Disco
RecommendedTroubleshootingScanner,\Microsoft\Windows\Diagnosis\,Comprueba resolución de problemas recomendada de Microsoft (envía datos),Feedback
UnexpectedCodepath,\Microsoft\Windows\Diagnosis\,Telemetría de rutas de código inesperadas,Feedback
DmClient,\Microsoft\Windows\Feedback\Siuf\,Envia peticiones de feedback al usuario,Feedback
DmClientOnScenarioDownload,\Microsoft\Windows\Feedback\Siuf\,Descarga escenarios de feedback de Microsoft,Feedback
WinSAT,\Microsoft\Windows\Maintenance\,Mide rendimiento del sistema y lo envía a Microsoft (Windows Assessment Tool),Feedback
FamilySafetyMonitor,\Microsoft\Windows\Shell\,Supervisa y aplica configuración de Protección infantil de Microsoft,Feedback
FamilySafetyRefreshTask,\Microsoft\Windows\Shell\,Sincroniza configuración del servicio de características de familia Microsoft,Feedback
QueueReporting,\Microsoft\Windows\Windows Error Reporting\,Envia informes de errores a Microsoft,Feedback
SoftLandingCreativeManagementTask,\SoftLanding\S-1-5-21-1306727280-3045863218-242321344-1001\,Gestión de contenido creativo SoftLanding (anuncios y sugerencias de Microsoft),Feedback
SpeechModelDownloadTask,\Microsoft\Windows\Speech\,Descarga modelos de reconocimiento de voz,Multimedia
UpdateLibrary,\Microsoft\Windows\Windows Media Sharing\,Actualiza la biblioteca de Windows Media Player,Multimedia
OneDrive Reporting Task-S-1-5-21-1306727280-3045863218-242321344-1001,\,Tarea de informes de OneDrive (telemetría OneDrive),Nube
CreateObjectTask,\Microsoft\Windows\CloudExperienceHost\,Tareas de la experiencia en la nube de Microsoft,Nube
Backup,\Microsoft\Windows\CloudRestore\,Copia de seguridad de configuración desde la nube (CloudRestore),Nube
Restore,\Microsoft\Windows\CloudRestore\,Restauración de configuración desde la nube (CloudRestore),Nube
LoginCheck,\Microsoft\Windows\PushToInstall\,Comprueba login para instalación push desde Microsoft Store,Nube
Registration,\Microsoft\Windows\PushToInstall\,Registro del dispositivo para instalación push Microsoft Store,Nube
Work Folders Logon Synchronization,\Microsoft\Windows\Work Folders\,Sincronización de carpetas de trabajo al inicio de sesión (corporativo),Nube
Work Folders Maintenance Work,\Microsoft\Windows\Work Folders\,Mantenimiento de carpetas de trabajo (corporativo),Nube
MobilityManager,\Microsoft\Windows\Ras\,Compatibilidad para cambio de conexión VPN con movilidad (innecesario en PC fijo),Red Movil
UPnPHostConfig,\Microsoft\Windows\UPnP\,Establece UPnPHost en inicio automático (innecesario si no se usa UPnP),Red Movil
WiFiTask,\Microsoft\Windows\WCM\,Tarea de configuración de red WiFi en segundo plano,Red Movil
CDSSync,\Microsoft\Windows\WlanSvc\,Sincronización CDS de WLAN,Red Movil
MoProfileManagement,\Microsoft\Windows\WlanSvc\,Gestión de perfiles de red móvil WLAN,Red Movil
NotificationTask,\Microsoft\Windows\WwanSvc\,Tarea de notificaciones WWAN (red móvil),Red Movil
OobeDiscovery,\Microsoft\Windows\WwanSvc\,Descubrimiento OOBE de red móvil WWAN,Red Movil
Background Synchronization,\Microsoft\Windows\Offline Files\,Sincronización periódica de archivos sin conexión (uso corporativo),Sincronizacion Hora
